,architecture,training mode,weight sharing,mean comparison acc,std comparison acc
1,deep,with auxiliar loss,True,81.91000366210938,1.208678960800171
0,deep,without auxiliar loss,True,80.62001037597656,0.44226768612861633
3,deep,with auxiliar loss,False,79.43000793457031,1.3371983766555786
2,deep,without auxiliar loss,False,78.82999420166016,0.7156095504760742
9,deep with sigmoids,with auxiliar loss,True,78.04000091552734,0.6264167428016663
4,fully connected,without auxiliar loss,True,76.70999908447266,1.0606118440628052
8,deep with sigmoids,without auxiliar loss,True,76.63999938964844,1.0781455039978027
11,deep with sigmoids,with auxiliar loss,False,75.90999603271484,0.7034919261932373
10,deep with sigmoids,without auxiliar loss,False,75.55999755859375,1.0451806783676147
6,fully connected,without auxiliar loss,False,74.57999420166016,0.4915284514427185
7,fully connected,with auxiliar loss,False,73.55000305175781,3.769683837890625
5,fully connected,with auxiliar loss,True,70.30999755859375,12.398906707763672
